N,P,K,temperature,humidity,ph,rainfall,label
23,136.0,205,22.60800988,93.45042636,6.226289556,116.0396587,grapes
8,8.0,10,28.2620488,91.98317355,6.938313356,105.2132232,orange
21,5.0,32,26.56608303,94.45239715,6.285312759,116.3796525,coconut
17,38.0,25,31.48451729,48.77926304,4.525722333,93.17221967,mango
28,21.0,25,30.01821337,50.09831810000001,5.676032581,96.08745082,mango
23,39.0,21,29.49096726,67.10604388,6.471862118,153.2504506,lentil
48,122.0,201,25.34756111,93.02871078,6.803094965,174.40123369999995,grapes
29,121.0,196,21.53346343,94.32130209,6.500343222000001,295.9248796,apple
24,44.0,16,29.8596912,80.03499648,6.666380512000001,50.66487502,mungbean
11,60.0,25,13.42988625,80.06633966,6.361141107000001,71.40043037,mungbean
79,51.0,25,25.33797709,68.49835977,6.586244581,96.46380213,maize
127,44.0,18,24.87663664,76.30050373,7.041065585,91.9223468,cotton
33,37.0,21,27.23924995,86.404241,6.713410626,37.31236904,mungbean
31,35.0,21,25.74095321,45.38497051,7.88118645,67.43488235,mungbean
3,75.0,25,27.91095209,64.70930606,3.692863601,32.67891866,pigeonpeas
37,36.0,19,28.7420098,85.81675947,6.452006451,48.54598575,mungbean
22,38.0,33,31.53356352,53.06009323,5.8211060360000015,98.57025046,mango
53,65.0,48,24.87212063,93.90560147,6.676578778,135.16945249999998,papaya
38,78.0,79,20.36720401,76.89574311,8.766128654,82.2545577,chickpea
7,44.0,19,41.10207731,82.22118237,6.979102243,149.1199989,mungbean
17,70.0,16,28.50677929,45.20094476,3.793575185,66.1761456,lentil
81,18.0,48,26.44019475,80.91934337,6.507110986,47.81847573,watermelon
29,20.0,41,18.91251245,87.74938524,6.608023872,111.28005159999998,pomegranate
28,67.0,21,21.79792649,63.73086065,6.921993877999999,46.623702,lentil
3,60.0,23,19.56376468,25.67385131,5.690065688,139.2921004,kidneybeans
102,25.0,54,28.20480805,92.91440379,6.099662369,20.36001144,muskmelon
5,56.0,23,24.80710166,45.01110015,5.023115055,188.4928637,pigeonpeas
29,19.0,27,28.347161100000005,53.53903102,6.9674177660000005,90.40260445,mango
74,35.0,38,25.65553461,83.47021081,7.120272972,217.3788583,rice
83,54.0,45,25.59704938,80.14509262,6.903985986,200.834898,rice
28,74.0,17,30.90607799,52.79913039,7.05181629,170.99198280000005,pigeonpeas
35,71.0,24,29.89286629,66.35375127,6.931924962999999,198.1403003,pigeonpeas
3,29.0,38,23.38318965,91.19431555,7.079973241,103.6012114,pomegranate
84,25.0,51,29.94349168,93.90741192,6.251420275,20.39020503,muskmelon
32,26.0,31,27.45853567,92.90020977,6.513620917999999,69.46020927,mango
95,27.0,45,29.91690582,55.742,6.117530021,28.16057247,watermelon
106,11.0,45,27.72653142,92.00687531,6.350623739,20.21126747,muskmelon
100,13.0,47,29.48882958,91.07574233,6.365956657999999,26.01909355,muskmelon
33,60.0,22,28.234829,69.3159965,6.313284267999999,35.36831423,kidneybeans
52,63.0,16,21.91041045,65.21662467,5.962001484,36.10211371,blackgram
108,26.0,55,28.82629037,94.26765349,6.201797639,26.23838511,muskmelon
53,16.0,31,31.99490489,36.84881347,5.279388967,97.38741498,mango
0,36.0,27,34.13072188,51.25786185,5.101206389,96.38808001,mango
16,79.0,23,31.48469278,35.6395615,6.574209678,100.546816,pigeonpeas
114,78.0,52,24.32630461,80.13456404,6.363406102000001,69.45072055,banana
30,37.0,25,38.06099482,82.24729637,6.234904253,65.70148216,mungbean
14,58.0,23,19.54317155,54.92831399,4.803564468,173.1686574,lentil
74,49.0,44,23.31410442,71.4509053,7.4880144039999985,164.49703730000004,jute
52,60.0,85,17.48504075,16.96070581,6.89655198,86.05078037,chickpea
39,78.0,18,15.3246651,81.67215994,6.477768039,71.60102999,pigeonpeas
53,74.0,16,29.43463808,64.94329356,7.517097,72.17818157,blackgram
85,22.0,26,25.96534238,89.77076659,6.849471704,59.46338556,coffee
84,23.0,45,21.49118657,93.43949693,6.41354791,101.4819888,muskmelon
2,15.0,6,28.43430726,42.10010827,6.012719118,147.0414824,orange
107,5.0,52,26.6634609,89.98405233,6.8814257460000015,57.40847165,muskmelon
19,78.0,21,25.87990287,67.55109024,6.347379185,47.89645224,lentil
68,41.0,45,26.08867875,80.37979919,5.706943251,182.9043504,jute
15,27.0,27,33.80398664,46.12866113,4.507523551,90.82549241,mango
28,80.0,19,20.93409877,21.1893007,5.562201934,133.1914419,lentil
110,22.0,54,29.03157242,91.82172592,6.243673725,24.93861254,muskmelon
24,37.0,22,27.84026517,89.99615558,7.063022095,52.84626009,mungbean
35,64.0,78,17.92845928,14.27327988,7.496645259,75.37378769,chickpea
60,56.0,35,22.69657794,82.81088865,6.028321557999999,256.9964761,jute
85,25.0,49,26.0713757,88.7285657,6.467095849,57.79652846,watermelon
8,26.0,44,18.47412402,89.68919664,7.130837931,108.4758509,pomegranate
7,61.0,20,22.47253208,62.56532471,5.667419697000001,96.74706956,pigeonpeas
35,69.0,23,29.84823072,60.63872613,7.491217102,46.80452595,pigeonpeas
27,54.0,20,29.2114218,87.11497805,6.41874299,51.53848218,mungbean
36,28.0,41,26.58413917,95.78923137,6.25449571,171.6262299,pomegranate
25,23.0,28,28.22471276,32.35916228,6.428054409,44.01206619,mango
94,6.0,45,26.45707778,91.213213,5.993513566,64.16167699,watermelon
23,26.0,29,28.22471276,82.35916228,6.428054409,44.01206619,coconut
14,41.0,20,28.14720892,83.8001509,6.647965508,37.44800463,mungbean
19,7.0,9,19.660946,91.71369387,6.399891457000001,24.84266123,orange
82,36.0,38,25.49386782,86.97061481,7.299076163,176.5268267,jute
22,57.0,19,29.87888063,87.32761241,6.89077995,44.75215854,mungbean
21,26.0,25,27.00315545,47.67525434,5.6995869720000005,95.85118326,mango
95,26.0,55,29.91690582,94.55695552,6.117530021,28.16057247,watermelon
5,74.0,24,16.24469193,21.35793891,5.591704013999999,66.97053257,kidneybeans
94,89.0,48,20.27774362,82.89408619,5.718627177999999,241.9741949,banana
22,21.0,26,27.67256197,45.41692012,4.947683034,92.84991507,mango
14,57.0,24,29.24598976,84.80084105,6.991242362,53.43228915,mungbean
14,74.0,17,27.99990346,65.57653373,6.493036868,49.94043064,lentil
94,89.0,48,27.33684386,84.51602252,6.609696734,65.11365631,banana
30,58.0,78,17.48395377,14.76014523,6.609696734,65.11365631,chickpea
69,47.0,44,25.37122686,76.2403666,6.130136384,183.8270791,jute
40,20.0,41,24.37766782,85.4017118,5.78270695,106.128338,pomegranate
21,70.0,22,27.16159076,66.76017239,6.92009048,69.85112265,blackgram
28,79.0,20,24.70626432,65.26854183,6.0521848810000005,53.12442925,kidneybeans
68,55.0,19,26.14384005,66.20569924,6.655426355,107.2361366,maize
26,36.0,28,33.44619894,53.05980465,5.339556562,98.05089394,mango
20,35.0,15,27.77076285,87.09979549,6.402926221,49.50812624,mungbean
52,63.0,18,29.58949031,68.32176769,6.928898659,67.53021213,blackgram
21,61.0,17,21.98560799,24.87304788,5.852046999,129.5650601,kidneybeans
123,50.0,19,23.04920461,75.53835214,6.498052108,70.65644296,cotton
28,58.0,24,27.4818649,62.04814951,6.861640036,37.81123974,lentil
107,77.0,54,25.86824781,78.52399914,5.74055541,116.3019555,banana
63,58.0,51,26.83054058,90.75379971,6.864143752,144.66564440000005,papaya
82,30.0,48,29.09588297,94.16748386,6.1590508160000015,26.70581328,muskmelon
56,55.0,51,29.02328049,90.20396783,6.617703177999999,126.8069869,papaya
13,58.0,20,30.50420876,35.48885969,5.391560417999999,162.59277230000004,pigeonpeas
120,23.0,48,27.84492803,91.60666594,6.732049075,26.47844429,muskmelon
92,5.0,55,26.70607759,81.14149505,6.944640222,51.51033554,muskmelon
85,21.0,48,26.11440416,87.64081095,6.661870999,58.48160844,watermelon
29,80.0,20,30.0328403,67.88811637,7.574561547,71.21006868,blackgram
14,65.0,25,26.58972517,66.14007674,6.139215944,50.90994463,lentil
98,26.0,45,27.29035669,90.53330091,6.130160472999999,23.49535234,muskmelon
9,5.0,41,22.48720144,89.9224883,6.553509673,111.6631582,pomegranate
52,46.0,41,24.2248758,74.89465426,7.175170657000001,192.4931257,jute
30,63.0,22,33.39438752,62.93692886,6.602888248999999,63.57445989,lentil
39,145.0,201,21.77466746,80.54942557,6.400719746,69.39630398,grapes
65,60.0,45,23.75091572,71.14782585,7.124571593,160.0889553,jute
36,65.0,20,17.06104474,23.77201471,5.86442953,81.83420522,kidneybeans
28,56.0,16,21.81167649,23.20591245,5.794158503999999,130.0608093,kidneybeans
40,38.0,21,34.90665289,92.87820148,7.418761774,102.1906333,mungbean
106,20.0,54,29.73019662,90.97015715,6.34789075,20.49035619,muskmelon
47,63.0,18,27.44003279,67.10464369,6.661870999,72.50669768,blackgram
55,60.0,22,32.79766751,68.77994074,7.163043872,64.11411069,blackgram
83,48.0,21,19.74213321,59.66263104,6.381201909,65.50861389,maize
81,56.0,37,23.67575393,81.03569343,5.17782304,233.7034975,jute
67,51.0,24,25.36768364,62.52054555,6.6069840860000015,107.9124111,maize
37,69.0,16,29.32379604,45.93248374,6.421748487,165.4113371,pigeonpeas
20,58.0,20,24.60532218,87.9352376,6.636803222999999,96.59195302,mungbean
0,30.0,37,20.86474944,91.61793636,6.277148771,106.8685636,pomegranate
73,43.0,39,26.58361011,78.00774772,6.310699968,154.8238864,jute
29,79.0,20,29.87854588,65.73085206,6.950300686,44.95654782,lentil
23,27.0,28,26.45488737,93.45042636,5.901495543999999,149.2220255,coconut
10,139.0,201,22.12659387,90.97818277,8.081095263,29.2354230000004,apple
106,16.0,50,28.96017885,91.69532178,6.585872508,24.7458198,muskmelon
26,48.0,21,28.5474135,88.9570454,6.27258822,49.4897245,mungbean
89,27.0,45,24.69368934,85.56967628,6.353107392999999,48.99390828,watermelon
85,46.0,41,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,rice
84,25.0,47,24.37190239,81.2514818,6.12532356,44.20899581,muskmelon
18,66.0,22,36.75087487,58.25799145,6.07938452,124.6028153,pigeonpeas
6,77.0,17,26.88630675,41.69617915,4.7509292180000005,94.46748008,pigeonpeas
1,62.0,24,15.43546065,18.37477907,5.607808432000001,139.0302034,pigeonpeas
62,42.0,18,22.27526694,58.84015925,6.9670577620000005,63.87020584,maize
8,44.0,19,29.50523036,35.72032498,6.216814453,187.8961851,pigeonpeas
33,47.0,20,22.37548219,57.21025565,6.685553129,21.01796432,maize
19,31.0,26,31.48451729,48.77926304,4.525722333,93.17221967,mango
16,71.0,23,18.33124824,38.40975482,4.946369874,139.64833169999997,pigeonpeas
26,72.0,17,28.76794904,37.57792132,4.674941549,91.72084869,pigeonpeas
90,15.0,51,24.92093261,80.61750795,6.291540277999999,50.55710813,watermelon
107,7.0,51,22.17931888,89.00481725,6.3573893660000005,200.0882787,watermelon
85,21.0,52,29.62800691,90.10051615,6.0751441160000015,23.69586761,watermelon
66,58.0,38,23.5643831,79.46283115,7.321619041,185.25947,jute
2,49.0,18,27.53632932,89.92908171,6.619891497999999,45.48591922,mungbean
72,39.0,43,24.8972823,80.52586088,6.13428721,183.6793207,rice
82,73.0,54,24.39459498,94.16748386,6.551130445,197.1220049,banana
18,125.0,204,22.35548159,94.47811755,6.046673619,116.7366261,grapes
40,133.0,201,11.36300891,80.03100049,6.116982944,71.18289431,grapes
90,59.0,38,25.66585205,80.66385045,6.94801983,209.5869708,rice
58,51.0,48,42.13473976,91.70445386,6.757470637000001,197.402901,papaya
95,16.0,55,26.17668721,90.14362642,6.121168559,90.33484977,muskmelon
18,17.0,29,27.59376845,92.48519606,6.206077742000001,162.8432736,coconut
39,37.0,26,33.33024826,45.61143594,6.953246506,98.28583013,mango
112,76.0,54,29.244063800000006,77.32017166,5.7074889870000005,90.66727868,banana
42,58.0,17,19.45339934,18.23490739,8.380185271,75.6317566,blackgram
19,57.0,21,30.33276599,42.35249879,6.446091759,149.299952,pigeonpeas
70,38.0,36,24.39736241,79.26861738,7.014063944,164.2697011,jute
19,123.0,200,34.76086052,81.03544763,6.167013532,65.70430027,apple
100,60.0,52,27.53911354,77.25629897,6.049801781,110.3262123,banana
63,58.0,15,18.25405352,55.28220433,6.204747652999999,63.72358154,maize
106,20.0,51,24.47018505,84.16390229,6.417011754,57.26773002,watermelon
14,75.0,23,24.54757829,57.3414485,6.436160044,118.3606557,pigeonpeas
29,10.0,41,17.22034507,94.78797376,6.912033409,108.0054343,pomegranate
35,43.0,25,28.02952623,84.8845732,6.5563725,36.12042927,mungbean
100,30.0,49,29.72791119,94.29753295,6.367800632000001,26.52364146,muskmelon
14,57.0,19,22.84852833,83.12081981,6.079497202000001,123.5977843,mungbean
44,73.0,25,29.6321052,65.91359954,7.42160832,71.16331975,blackgram
114,21.0,55,27.82054812,93.03555162,6.528404377999999,26.32405487,muskmelon
49,68.0,16,27.05365239,67.7017527,7.393631868,60.4693835,blackgram
29,78.0,24,19.95991719,59.33157782,5.982854522999999,195.787103,pigeonpeas
92,28.0,45,27.11535046,89.86907886,6.442810053,26.51924782,muskmelon
21,27.0,27,27.00315545,46.67525434,5.6995869720000005,95.85118326,mango
8,35.0,20,28.3340432,80.77275974,7.034214276,38.7976407,mungbean
98,29.0,48,26.08867875,80.37979919,5.706943251,182.9043504,muskmelon
17,76.0,25,21.47607807,39.80023714,4.962661422,180.382234,pigeonpeas
27,22.0,38,24.32770134,90.88292835,6.610251186,110.4606459,pomegranate
20,59.0,23,34.87248659,38.83786012,5.180271502,148.25027859999997,pigeonpeas
80,18.0,52,27.87317436,91.14849627,6.484799661,24.05207925,watermelon
33,41.0,17,28.95172351,81.67085323,6.510840928,56.51103293,mungbean
18,125.0,204,22.35548159,94.47811755,6.046673619,116.7366261,grapes
76,44.0,37,20.77576147,84.49774397,6.244841491,240.0810647,jute
50,55.0,54,40.76998685,92.09278584,6.747975732,209.8678411,papaya
34,39.0,31,27.27433181,47.16808054,6.422710539,95.257992,mango
12,31.0,27,35.7877738,51.94190321,5.395275719,100.2160615,mango
3,41.0,16,28.67408774,63.18832976,7.299360767,42.96018627,mothbeans
26,68.0,16,34.63880966,61.38597868,7.69950698,72.43169115,blackgram
6,45.0,23,26.01630259,49.94704718,5.906596905,160.33374469999995,pigeonpeas
106,70.0,54,25.86824781,78.52399914,5.74055541,116.3019555,banana
69,47.0,44,25.37122686,76.2403666,6.130136384,183.8270791,jute
65,39.0,39,23.35905428,83.59512273,5.333322606,188.413665,rice
14,74.0,20,18.39759147,36.82639309,6.624966131,93.12330644,pigeonpeas
18,76.0,25,30.33276599,42.35249879,6.446091759,149.299952,pigeonpeas
120,87.0,52,24.38534644,76.05568718,7.234258375,119.6324109,banana
33,35.0,17,23.64124821,80.28597873,5.012139669,263.1103304,mungbean
9,54.0,24,31.96987867,57.17377029,6.2760043360000015,64.25520357,mothbeans
110,27.0,54,28.91105641,90.78413842,6.425930938,23.44398467,muskmelon
18,31.0,27,27.75518664,52.34605806,4.772385986000001,94.11213345,mango
39,57.0,53,25.9300384,93.02357765,6.964955435,241.8202079,papaya
3,23.0,43,29.70143197,95.65754365,6.078807239,215.1968037,pomegranate
32,79.0,15,27.60195453,63.46170674,5.91645379,54.37814199,lentil
67,51.0,44,26.82489244,78.20392774,7.093328631,153.91998069999997,jute
14,67.0,22,25.28710601,60.85993533,7.241151936,49.37369982,pigeonpeas
33,57.0,21,27.89636126,88.71782287,6.78415271,57.79863368,mungbean
101,70.0,46,25.36059237,75.03193255,6.012696655,116.5531455,banana
34,16.0,27,30.07202564,50.96040505,6.10729559,92.09609766,mango
37,12.0,8,19.667056,90.50096664,7.764040111,100.1737964,orange
110,22.0,45,29.03157242,91.82172592,6.243673725,24.93861254,muskmelon
63,42.0,24,23.26237612,72.33125523,5.798423907999999,67.10225139,maize
67,43.0,41,23.30546753,63.24648023,6.385684213999999,108.7603001,rice
20,29.0,12,29.07412717,93.27189064,7.36549204,100.7896871,orange
22,138.0,201,27.83487131,83.51444973,6.208196881,73.02882766,grapes
71,35.0,23,22.27373646,59.52193158,5.826426917,67.96704792,maize
85,95.0,46,25.94019018,78.3422098,6.211833161,119.84797,banana
5,54.0,18,28.92952635,53.57014709,9.679240873,66.35634104,mothbeans
35,41.0,16,31.02215872,45.89239456,6.68727523,53.56783314,mothbeans
16,19.0,31,32.27652024,50.19368841,5.316875978000001,95.99487068,mango
34,48.0,25,28.56212158,83.24855855,6.935804256,56.48265193,mungbean
4,67.0,25,23.78709569,24.35679348,5.948164454,119.6404412,lentil
20,139.0,202,23.50201428,92.21083961,5.66999105,107.9868949,grapes
39,60.0,84,17.88776475,15.40589717,5.9969320370000005,68.54932919,chickpea
23,56.0,17,24.87425505,64.00213929,7.198076286,48.28137482,blackgram
30,60.0,23,28.87667593,62.4901206,5.457871272999999,182.2688175,pigeonpeas
44,55.0,16,31.74379487,62.51007687,7.332375138,68.97097538,blackgram
80,18.0,52,26.87317436,91.14849627,6.484799661,24.05207925,muskmelon
68,62.0,54,33.20258348,92.76437927,6.977700268,197.5282582,papaya
9,60.0,22,20.61162204,24.36314135,5.792744849,69.63833855,kidneybeans
106,20.0,48,29.73019662,90.97015715,6.342573112,20.49035619,muskmelon
5,26.0,6,30.72119881,94.01331956,6.0113021810000005,106.8118019,orange
93,20.0,54,29.48069921,90.33698678,6.640470862999999,26.0365768,muskmelon
32,70.0,21,20.89342749,46.24856523,6.208843215,195.5697875,pigeonpeas
41,11.0,38,22.59890174,93.17343942,7.058222596,110.0932899,pomegranate
36,67.0,21,25.12528913,51.33189406,4.516154055,38.48678973,pigeonpeas
23,77.0,75,17.47500984,16.54314829,6.18042747,93.35034262,chickpea
24,121.0,201,22.19109412,90.02575116,6.162034371,112.3126628,grapes
9,42.0,52,32.26935342,53.56092806,5.870116071,95.94035356,papaya
75,54.0,44,26.29465461,84.56919326,7.023936392,257.4914906,jute
90,15.0,52,27.04927452,91.3821731,6.448061578,23.65747461,watermelon
27,59.0,18,20.10993761,23.22323766,5.59503163,73.36386477,kidneybeans
24,21.0,45,20.82210727,87.22815682,6.999014379,109.4429934,pomegranate
21,63.0,17,28.20667264,68.27085245,7.350869792,64.32887142,blackgram
34,35.0,33,35.37775595,45.58110023,6.454045329,97.41586402,mango
78,58.0,22,23.08974909,63.10459626,5.588650585,70.43473609,maize
45,56.0,75,20.19137759,16.41998269,8.719960893,77.33795356,chickpea
100,51.0,52,28.67208915,82.20793613,5.725418961,94.37987496,banana
21,48.0,17,28.14448546,82.1193047,7.064782137999999,46.75690086,mungbean
38,36.0,26,27.10710832,50.70880979,4.94295037,92.37238878,mango
52,65.0,19,19.45339934,18.23490739,8.380185271,75.6317566,blackgram
20,28.0,26,28.70595247,50.44030129,5.445008416,95.8946444,mango
14,74.0,16,27.99990346,65.57653373,6.493036868,49.94043064,lentil
7,36.0,27,31.32863689,47.59319575,6.524114355,94.67344737,mango
22,35.0,16,27.96583691,61.34900107,8.639586199,70.10472076,mothbeans
16,55.0,16,19.54314136,47.19188279,6.413543781,192.4372194,pigeonpeas
35,18.0,26,35.53845018,52.94641947,4.934964765,91.54560427,mango
61,57.0,17,19.20129357,68.30578978,6.11275104,87.85092352,maize
56,72.0,77,17.02498456,16.98861173,7.485996067,88.55123143,chickpea
36,59.0,53,34.28879307,93.61082872,6.721130542999999,127.2509777,papaya
80,43.0,42,23.1426498,74.99739774,7.380396262,151.9035477,jute
25,76.0,20,29.87854588,65.73085206,6.950300686,44.95654782,lentil
93,21.0,52,26.58740671,91.32563243,6.932739726,41.87540028,muskmelon
29,29.0,43,23.62600218,89.73266695,6.145104401,107.6836871,pomegranate
111,5.0,52,29.88430552,94.0371147,6.666380512000001,50.66487502,muskmelon
59,46.0,47,42.93605359,90.09448142,6.612429546,234.8466111,papaya
5,24.0,13,25.66901098,92.04670813,7.408939392000001,112.5424199,orange
54,46.0,53,36.32268069,93.06134398,6.98992719,141.1736926,papaya
4,79.0,24,24.84063998,60.09116626,6.75020529,48.77790371,blackgram
92,7.0,51,26.70607759,81.14149505,6.944640222,51.51033554,muskmelon
83,41.0,35,21.0525355,82.67839517,6.254028451,233.1075816,rice
28,60.0,23,24.7741949,50.54621094,6.007508163,114.2821387,pigeonpeas
78,44.0,37,26.54348085,84.67353597,7.072655622,183.6222657,rice
91,14.0,52,20.33691147,83.464027,5.841367187,110.9653137,watermelon
21,9.0,41,24.88244467,89.39686219,7.086947687,107.1951707,pomegranate
17,122.0,201,31.8520694,90.12220323,6.407715561,109.9455062,grapes
58,46.0,45,26.05375792,93.69111672,6.7424900270000006,240.6863901,papaya
23,26.0,38,32.71748548,90.54608254,7.656978112000001,113.328978,pomegranate
99,29.0,49,29.19378695,91.46241065,6.660954816,26.48240255,muskmelon
33,63.0,16,27.05365239,67.7017527,7.393631868,60.4693835,blackgram
82,30.0,48,24.31334971,87.47409052,6.074209622000001,48.11248366,watermelon
95,25.0,45,28.47212559,91.21322065,6.160414414,20.88620369,muskmelon
25,62.0,19,33.15122581,32.45974539,4.807776748999999,105.03802749999998,pigeonpeas
